,name,link,title,image,desc
10," Pam Grier
",https://www.imdb.com/name/nm0000427/,Actress|Julia,"https://m.media-amazon.com/images/M/MV5BMTcxNDEwNDA0N15BMl5BanBnXkFtZTcwOTY1NjgyNA@@._V1_UY209_CR0,0,140,209_AL_.jpg","
Pam Grier was born in Winston-Salem, NC, one of four children of Gwendolyn Sylvia (Samuels), a nurse, and Clarence Ransom Grier Jr., an Air Force mechanic. Pam has been a major African-American star from the early 1970s. Her career started in 1971, when Roger Corman of New World Pictures launched ...                "
11," Regina King
",https://www.imdb.com/name/nm0005093/,Actress|Jackie Brown,"https://m.media-amazon.com/images/M/MV5BZGM1M2I1ZWQtNWVmMC00YTE4LWFiNDEtNWVlN2FmNmU5MjZjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX140_CR0,0,140,209_AL_.jpg","
Regina King was born in Los Angeles, California, to Gloria, a special education teacher, and Thomas King, an electrician. She began her career in the television show 227 (1985), followed by a role in Boyz n the Hood (1991). She began to be recognized by a mainstream audience after her role as Cuba ...                "
12," Jada Pinkett Smith
",https://www.imdb.com/name/nm0000586/,Actress|Ray,"https://m.media-amazon.com/images/M/MV5BMTYzOTE1MjQ0OF5BMl5BanBnXkFtZTgwMzczNTkwNjE@._V1_UX140_CR0,0,140,209_AL_.jpg","
Jada Koren Pinkett Smith was born in Baltimore, Maryland, to Robsol Grant Pinkett, Jr., a contractor, and Adrienne Banfield-Jones, a nurse. They divorced after only a few months of marriage. Her father is of African-American descent and her mother is of Afro-Caribbean ancestry (from Barbados and ...                "
13," Diana Ross
",https://www.imdb.com/name/nm0005384/,Actress|The Matrix Revolutions,"https://m.media-amazon.com/images/M/MV5BMzU4MDU1NzgwOF5BMl5BanBnXkFtZTgwMTgwMDAwMjE@._V1_UY209_CR0,0,140,209_AL_.jpg","
Best known as the the lead singer of the popular 1960s singing group The Supremes, Diana Ernestine Earle Ross was born on March 26, 1944, in Detroit, Michigan, the second of six children of African-American parents Ernestine Lillian (Moten), a schoolteacher, and Fred Earl Ross, who served in the ...                "
14," Keke Palmer
",https://www.imdb.com/name/nm1551130/,Soundtrack|The Wiz,"https://m.media-amazon.com/images/M/MV5BM2YzYjcwMWQtMWRiNi00NDVhLTk1MDktYmE1ZGI2OGYwMjdiXkEyXkFqcGdeQXVyMTMxMTU5NTU@._V1_UY209_CR14,0,140,209_AL_.jpg","
Lauren Keyana Palmer was born on August 26, 1993 in Harvey, Illinois to Sharon and Larry Palmer, both former actors. Palmer showed vocal promise as a five-year-old, when she belted out ""Jesus Loves Me"" in her church choir. A year later the singer-actress had a solo in her kindergarten play but, to ...                "
15," Janet Jackson
",https://www.imdb.com/name/nm0001390/,Actress|Nope,"https://m.media-amazon.com/images/M/MV5BNjQxNzQ2NzAyNV5BMl5BanBnXkFtZTcwNTczMTgxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg","
Janet Damita Jo Jackson was born on May 16, 1966 in Gary, Indiana, to Katherine Jackson (née Katherine Esther Scruse) and Joe Jackson, a musician. She is the youngest of ten children. After her birth, her brothers formed a band later called The Jackson 5. She lived at home with her sisters, while ...                "
16," Thandiwe Newton
",https://www.imdb.com/name/nm0628601/,Soundtrack|Poetic Justice,"https://m.media-amazon.com/images/M/MV5BNjMzNTAxNDUwNV5BMl5BanBnXkFtZTcwMjMyNjI5MQ@@._V1_UY209_CR10,0,140,209_AL_.jpg","
Thandiwe Newton was born in London. She is the daughter of Zimbabwean mother Nyasha, a health-care worker from the Shona tribe, and British father Nick Newton, who worked as a lab technician. She lived in Zambia until political unrest caused her family to move back to the UK, where she lived in ...                "
17," Zoe Saldana
",https://www.imdb.com/name/nm0757855/,Actress|Crash,"https://m.media-amazon.com/images/M/MV5BMGNhNzdlMTAtZGE2NS00MmU5LWIzNmYtMjVlNThiNmU1ZWY4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR23,0,140,209_AL_.jpg","
Zoe Saldana was born on June 19, 1978 in Passaic, New Jersey, to Asalia Nazario and Aridio Saldaña. Her father was Dominican and her mother is Puerto Rican. She was raised in Queens, New York. When she was 10 years old, she and her family moved to the Dominican Republic, where they would live for ...                "
18," Kat Graham
",https://www.imdb.com/name/nm0334159/,Actress|Avatar,"https://m.media-amazon.com/images/M/MV5BNGZkMTJmMmUtNDQxYy00YzcxLTg2YjItN2NiMGZhMjVhYzIwXkEyXkFqcGdeQXVyMTg1MTQ1NjI@._V1_UY209_CR35,0,140,209_AL_.jpg","
Kat Graham is an actress, singer, dancer and producer. Working across a variety of genres in film, television and music, she is one of most accomplished and versatile young talents working today.Graham was recently seen in the 70s period crime thriller ""The Poison Rose"" opposite Morgan Freeman and ...                "
19," Jennifer Hudson
",https://www.imdb.com/name/nm1617685/,Actress|How It Ends,"https://m.media-amazon.com/images/M/MV5BMTM5NTczMDU5OV5BMl5BanBnXkFtZTcwNDI0ODY1NA@@._V1_UY209_CR4,0,140,209_AL_.jpg","
Jennifer Kate Hudson was born on September 12, 1981 in Chicago, Illinois to Darnell Donerson (née Hudson) & Samuel Simpson. She is an Academy Award-winning actress, Grammy Award-winning recording artist and best-selling author. This bright, beautiful and booming-voiced talent is a perfect example ...                "
20," Tyra Banks
",https://www.imdb.com/name/nm0004723/,Soundtrack|Dreamgirls,"https://m.media-amazon.com/images/M/MV5BMjMyODU1Nzg5N15BMl5BanBnXkFtZTcwMzUxMzkxOA@@._V1_UY209_CR33,0,140,209_AL_.jpg","
Tyra Banks was born on December 4, 1973 in Los Angeles, California, USA. She is a producer and writer, known for Coyote Ugly (2000), Tropic Thunder (2008) and America's Next Top Model (2003).                "
21," Sharon Leal
",https://www.imdb.com/name/nm0495095/,Actress|Coyote Ugly,"https://m.media-amazon.com/images/M/MV5BMWE4OTQ0ZDItMTc4Yy00Y2ZkLTkyYWUtYjAzYTdkMmUyOWU2XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR15,0,140,209_AL_.jpg","
Sharon Leal is a military brat. She was born in Tucson, Arizona. Sharon then moved with her parents to the Philippines, till she was 6 years old. She went to prayer-school there. Then, her parents packed up to move back to the US and settled in Fresno, California. Her mother, Angelita, who is ...                "
22," Gugu Mbatha-Raw
",https://www.imdb.com/name/nm1813221/,Actress|Dreamgirls,"https://m.media-amazon.com/images/M/MV5BM2FlZWVlYWMtMDM5OC00M2IxLWI5ZmYtNzdiNGQ1OTA0MjgzXkEyXkFqcGdeQXVyOTIzNjQ2NjY@._V1_UY209_CR25,0,140,209_AL_.jpg","
Gugu Mbatha-Raw was born Gugulethu Sophia Mbatha in the John Radcliffe Hospital, Oxford, England. Her father, Patrick Mbatha, is a Black South African doctor, and her mother, Anne Raw, is a Caucasian English nurse. Her parents separated when she was a year old, and she was brought up by her mother ...                "
23," Eartha Kitt
",https://www.imdb.com/name/nm0457755/,Actress|Belle,"https://m.media-amazon.com/images/M/MV5BMjAwNDIwMDI0M15BMl5BanBnXkFtZTgwMDQyMjIxMTE@._V1_UY209_CR61,0,140,209_AL_.jpg","
An out-of-wedlock child, Eartha Kitt was born in the cotton fields of South Carolina. Kitt's mother was a sharecropper of African-American and Cherokee Native American descent. Her father's identity is unknown. Given away by her mother, she arrived in Harlem at age nine. At 15, she quit high school...                "
24," Michael Michele
",https://www.imdb.com/name/nm0005230/,Actress|The Emperor's New Groove,"https://m.media-amazon.com/images/M/MV5BMTY0NzE0ODU3N15BMl5BanBnXkFtZTYwMDMyNTU1._V1_UY209_CR6,0,140,209_AL_.jpg","
Michael is the eldest of two daughters. Her white father, Jerry, is an entrepreneur. Her African American mother, Thersa, is a corporate manager. In high school she played volleyball, basketball, and ran track. After high school, she moved to New York and quickly got commercial work. This led to a ...                "
25," Whitney Houston
",https://www.imdb.com/name/nm0001365/,Actress|ER,"https://m.media-amazon.com/images/M/MV5BMTkyMzA1NTk1M15BMl5BanBnXkFtZTcwMTYxNTkzNw@@._V1_UY209_CR5,0,140,209_AL_.jpg","
Whitney Elizabeth Houston was born into a musical family on 9 August 1963, in Newark, New Jersey, the daughter of gospel star Cissy Houston (née Emily Lee Drinkard) and John Russell Houston, Jr., and cousin of singing star Dionne Warwick.She began singing in the choir at her church, The New Hope ...                "
26," Sanaa Lathan
",https://www.imdb.com/name/nm0005125/,Soundtrack|The Bodyguard,"https://m.media-amazon.com/images/M/MV5BNGUwYzY2ZDItYjQyMC00YmVhLTg4NTktYTQxOWUwYjY1MmZjXkEyXkFqcGdeQXVyMTUzNDk4NjA@._V1_UY209_CR18,0,140,209_AL_.jpg","
Sanaa Lathan, the daughter of Actress Eleanor McCoy and Director Stan Lathan, was raised in both New York City and Los Angeles. During her youth she was fully immersed in the entertainment industry and learned early on that she wanted a career in the Arts. Sanaa pursued studies at the University of...                "
27," Tamara Dobson
",https://www.imdb.com/name/nm0229939/,Actress|AVP: Alien vs. Predator,"https://m.media-amazon.com/images/M/MV5BNWUyMWZkYTctOGNlMy00MGE5LTkzYmUtZDlmM2U2ZDY5ZjJlXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_UY209_CR69,0,140,209_AL_.jpg","
Tamara Dobson was born on May 14, 1947 in Baltimore, Maryland, USA. She was an actress, known for Cleopatra Jones (1973), Cleopatra Jones and the Casino of Gold (1975) and Chained Heat (1983). She died on October 2, 2006 in Baltimore, Maryland, USA.                "
28," Taraji P. Henson
",https://www.imdb.com/name/nm0378245/,Actress|Cleopatra Jones,"https://m.media-amazon.com/images/M/MV5BMTc4NDQ2MTUwMl5BMl5BanBnXkFtZTcwODA2NDY3NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg","
Taraji Penda Henson is an American actress and singer. She studied acting at Howard University and began her Hollywood career in guest roles on several television shows before making her breakthrough in Baby Boy (2001). She played a prostitute in Hustle & Flow (2005), for which she received a ...                "
29," Traci Bingham
",https://www.imdb.com/name/nm0000943/,Actress|The Curious Case of Benjamin Button,"https://m.media-amazon.com/images/M/MV5BMTc3MDQ4MjE4M15BMl5BanBnXkFtZTYwNTc3NzQ1._V1_UY209_CR1,0,140,209_AL_.jpg","
Traci Bingham was born on January 13, 1968 in Cambridge, Massachusetts, USA. She is an actress, known for East of Hollywood (2015), Baywatch (1989) and Tales from the Crypt: Demon Knight (1995). She was previously married to Robb Vallier.                "
30," Naomie Harris
",https://www.imdb.com/name/nm0365140/,Actress|East of Hollywood,"https://m.media-amazon.com/images/M/MV5BMTUyMDU1MTU2N15BMl5BanBnXkFtZTgwODkyNzQ3MDE@._V1_UX140_CR0,0,140,209_AL_.jpg","
British actress Naomie Harris was born in London, England, the only child of television scriptwriter Lisselle Kayla. Her father is from Trinidad and her mother is from Jamaica. They separated before she was born, and Harris was raised by her mother and has no relationship with her father. She ...                "
31," Garcelle Beauvais
",https://www.imdb.com/name/nm0004731/,Actress|Moonlight,"https://m.media-amazon.com/images/M/MV5BZmYyOGVhYjQtNmVmOC00OTJiLWJhYWYtNGM1NDcyOTYwMzAxXkEyXkFqcGdeQXVyNDAzNTc0NA@@._V1_UY209_CR39,0,140,209_AL_.jpg","
Named one of People Magazine's highly-coveted 50 Most Beautiful in 2014, Haitian-born actress Garcelle Beauvais immigrated to the United States at the age of seven with her mother and sisters, and has since charmed audiences with her dramatic and comedic abilities. A seasoned actress, Garcelle ...                "
32," Aisha Tyler
",https://www.imdb.com/name/nm0878768/,Actress|Spider-Man: Homecoming,"https://m.media-amazon.com/images/M/MV5BZDVkZmRmZTctN2VjYS00NTRmLTg5MDctOTk2NTE0YWYwM2IxXkEyXkFqcGdeQXVyMzczNzUxMw@@._V1_UX140_CR0,0,140,209_AL_.jpg","
Aisha Tyler is an award-winning director, actor, comedian, New York Times bestselling author, podcaster and activist. She is an Emmy-winning television host and multiple award-winning voice actor for Archer (2009).Aisha's feature directorial debut, Axis (2017), was shot in just seven days on ...                "
33," Bianca Lawson
",https://www.imdb.com/name/nm0493161/,Actress|Archer,"https://m.media-amazon.com/images/M/MV5BNjliNzA3NTUtZWUzNy00NmU1LTlhZDItZDUyZDlmMGZlMmIwXkEyXkFqcGdeQXVyMTYzMjUxODI@._V1_UY209_CR3,0,140,209_AL_.jpg","
Bianca Lawson was born on March 20, 1979 in Los Angeles, California, USA. She is an actress and producer, known for Save the Last Dance (2001), The Feast of All Saints (2001) and Rogue (2013).                "
34," Lauren London
",https://www.imdb.com/name/nm1988575/,Actress|Save the Last Dance,"https://m.media-amazon.com/images/M/MV5BMTQ4MTkzNTg4M15BMl5BanBnXkFtZTYwMjUzMTE1._V1_UX140_CR0,0,140,209_AL_.jpg","
Lauren London first appeared in the film, ATL, opposite actor and recording artist, Tip ""TI"" Harris. Due to London's breakout success in ATL, she received an offer to star in the film, This Christmas, with Loretta Devine, Idris Elba and Regina King. Her next film role was in the teen romantic ...                "
35," Zoë Kravitz
",https://www.imdb.com/name/nm2368789/,Actress|ATL,"https://m.media-amazon.com/images/M/MV5BM2NmMWViOTYtOGJhYi00MzU2LWI5ODYtOGJhYzhkMWViODY5XkEyXkFqcGdeQXVyNjk2NTA3MTc@._V1_UX140_CR0,0,140,209_AL_.jpg","
Zoë Isabella Kravitz, the daughter of singer/actor Lenny Kravitz and actress Lisa Bonet, was born on December 1, 1988 in Los Angeles, California. She is of half African-American (from her father's mother and her mother's father) and half Ashkenazi Jewish (from her father's father and her mother's ...                "
36," Beyoncé
",https://www.imdb.com/name/nm0461498/,Actress|Mad Max: Fury Road,"https://m.media-amazon.com/images/M/MV5BMjMxMzg3MDI5NV5BMl5BanBnXkFtZTcwOTAxODc0Ng@@._V1_UY209_CR21,0,140,209_AL_.jpg","
Beyoncé Giselle Knowles was born on September 4, 1981 in Houston, Texas. Her mom, Tina Knowles-Lawson designs their glittering costumes & her dad, Mathew Knowles manages Destiny's Child. Solange, her sister (they're 4 years apart) has released her debut album. She dances with her big sister during ...                "
37," Vivica A. Fox
",https://www.imdb.com/name/nm0000407/,Soundtrack|Dreamgirls,"https://m.media-amazon.com/images/M/MV5BMjFlYzhlYjEtYjM0ZC00ZTJmLWEwYjctMTI1ZGZjMDY3MWU4XkEyXkFqcGdeQXVyMjM2NTQxNDU@._V1_UY209_CR34,0,140,209_AL_.jpg","
Vivica A. Fox was born in South Bend, Indiana, on July 30, 1964, and is the daughter of Everlyena, a pharmaceutical technician, and William Fox, a private school administrator. She is of Native American and African-American descent and is proud of her heritage. She is a graduate of Arlington High ...                "
38," Paula Patton
",https://www.imdb.com/name/nm1745736/,Actress|Independence Day,"https://m.media-amazon.com/images/M/MV5BMTg4MTQ1ODM0NV5BMl5BanBnXkFtZTYwMTUyNDky._V1_UY209_CR73,0,140,209_AL_.jpg","
Paula Patton was born in Los Angeles, California, to Joyce (Vanraden) and Charles Patton. Her father is African-American and her mother, who is caucasian, has German, English, and Dutch ancestry. Her family lived across the street from the 20th Century Fox lot when she was growing up and she was a ...                "
39," Stacey Dash
",https://www.imdb.com/name/nm0001107/,Actress|Precious,"https://m.media-amazon.com/images/M/MV5BMTQzMzUwNDE0MF5BMl5BanBnXkFtZTgwOTQ3NTI3MzE@._V1_UX140_CR0,0,140,209_AL_.jpg","
Stacey Dash was born in the Bronx, New York. Stacy knew that she wanted to act, and from an early age began to act professionally. She made regular appearances on The Cosby Show (1984), The Fresh Prince of Bel-Air (1990), and also St. Elsewhere (1982). At 21 she made her feature film debut in Enemy...                "
40," Gabrielle Union
",https://www.imdb.com/name/nm0005517/,Actress|Clueless,"https://m.media-amazon.com/images/M/MV5BMTkwNjUzMDM2Nl5BMl5BanBnXkFtZTcwNDgyMDY4Mg@@._V1_UY209_CR18,0,140,209_AL_.jpg","
Gabrielle Union was born on October 29, 1972, in Omaha, Nebraska, to Theresa (Glass), who managed a phone company, and Sylvester E. Union, a military sergeant and business executive. When she was eight, her family moved to Pleasanton, California, where she grew up and attended high school. There, ...                "
41," Nia Long
",https://www.imdb.com/name/nm0000505/,Actress|Bring It On,"https://m.media-amazon.com/images/M/MV5BMjUxNzI2ODQ0N15BMl5BanBnXkFtZTgwOTAyMTY1NTM@._V1_UY209_CR19,0,140,209_AL_.jpg","
Stunning pop culture icon, Hollywood leading lady and three-time NAACP award winner Nia Long returns to the big screen this fall in the highly anticipated Universal Pictures sequel The Best Man Holiday (in theaters November 15th) where she reunites with original castmates Taye Diggs (""Private ...                "
42," Lena Horne
",https://www.imdb.com/name/nm0395043/,Actress|The Best Man,"https://m.media-amazon.com/images/M/MV5BMzU5Mzk5MjY0Ml5BMl5BanBnXkFtZTcwMjE2ODU0Mw@@._V1_UY209_CR31,0,140,209_AL_.jpg","
Lena Calhoun Horne was born June 30, 1917, in Brooklyn, New York. In her biography she stated that, on the day she was born, her father was in the midst of a card game trying to get money to pay the hospital costs. Her parents divorced while she was still a toddler. Her mother left later in order ...                "
43," Vanessa Williams
",https://www.imdb.com/name/nm0001853/,Soundtrack|Cabin in the Sky,"https://m.media-amazon.com/images/M/MV5BMjE2OTI0NTQ4MV5BMl5BanBnXkFtZTcwODUyMjM2MQ@@._V1_UY209_CR3,0,140,209_AL_.jpg","
Vanessa Lynne Williams was born on March 18, 1963 in Tarrytown, Greenburgh, New York and raised in Millwood, New Castle, New York to Helen Williams & Milton Williams, both music teachers. Vanessa and her brother grew up in suburban New York in comfortable surroundings. Vanessa sang and danced in ...                "
44," Vanessa Williams
",https://www.imdb.com/name/nm0004539/,Actress|Ugly Betty,"https://m.media-amazon.com/images/M/MV5BNjM3NjIxMjE5OV5BMl5BanBnXkFtZTcwMzg1OTQ1NA@@._V1_UX140_CR0,0,140,209_AL_.jpg","
Vanessa Estelle Williams (Actress, Singer, Writer, Director) born and raised in Brooklyn, NY, is a talented force that came to Hollywood in the 90's with passion purpose and staying power. This highly sought-after creative artist wrapped ""A Rich Christmas"" a feature film for BET this past December ...                "
45," Dorothy Dandridge
",https://www.imdb.com/name/nm0199268/,Actress|Candyman,"https://m.media-amazon.com/images/M/MV5BMTkyNDE2ODEyOV5BMl5BanBnXkFtZTgwMzU1NjI1MTI@._V1_UY209_CR3,0,140,209_AL_.jpg","
Dorothy Jean Dandridge was born on November 9, 1922 in Cleveland, Ohio, to Ruby Dandridge (née Ruby Jean Butler), an entertainer, and Cyril H. Dandridge, a cabinet maker and minister. Under the prodding of her mother, Dorothy and her sister Vivian Dandridge began performing publicly, usually in ...                "
46," Meagan Good
",https://www.imdb.com/name/nm0328709/,Actress|Carmen Jones,"https://m.media-amazon.com/images/M/MV5BMGU4MDVkYmEtNzlhMC00MzRkLWE4MzItN2JmNGY5MDUxNDFjXkEyXkFqcGdeQXVyNzQwMzYyMTg@._V1_UY209_CR8,0,140,209_AL_.jpg","
Meagan Monique Good was born on 8 August 1981 in Panorama City, California, USA, to Tyra Wardlow-Doyle, who worked as her manager, and Leondis ""Leon"" Good, an LAPD officer. She began appearing on commercials at the age of four. Then she started guest-starring on series like The Parent 'Hood (1995), ...                "
47," Angela Bassett
",https://www.imdb.com/name/nm0000291/,Actress|Think Like a Man,"https://m.media-amazon.com/images/M/MV5BMjI4OTQ1NTcxOF5BMl5BanBnXkFtZTcwOTc1NTU0OQ@@._V1_UX140_CR0,0,140,209_AL_.jpg","
Captivating, gifted, and sensational, Angela Bassett's presence has been felt in theaters and on stages and television screens throughout the world. Angela Evelyn Bassett was born on August 16, 1958 in New York City, to Betty Jane (Gilbert), a social worker, and Daniel Benjamin Bassett, a ...                "
48," Kerry Washington
",https://www.imdb.com/name/nm0913488/,Actress|Black Panther,"https://m.media-amazon.com/images/M/MV5BMTUxNzk2OTQzOF5BMl5BanBnXkFtZTcwMTM0NjIwNw@@._V1_UY209_CR17,0,140,209_AL_.jpg","
Kerry Washington is an African-American actress, television show producer and film director who is known for her roles in Scandal, Ray, the Tim Story Fantastic Four film series, Mr. and Mrs. Smith, Confirmation, Django Unchained, Little Fires Everywhere, Cars 3 and The Last King of Scotland. She ...                "
49," Rashida Jones
",https://www.imdb.com/name/nm0429069/,Actress|Scandal,"https://m.media-amazon.com/images/M/MV5BMjA0ODM2MzQ2NV5BMl5BanBnXkFtZTcwMTAxNTUxOQ@@._V1_UY209_CR3,0,140,209_AL_.jpg","
Rashida Jones was born in Los Angeles, California, the younger daughter of media mogul, producer, and musician Quincy Jones and actress Peggy Lipton. She has an older sister, Kidada Jones, and five half-siblings by her father's other relationships. Her father is African-American and her mother is ...                "
50," Lisa Bonet
",https://www.imdb.com/name/nm0000956/,Actress|Parks and Recreation,"https://m.media-amazon.com/images/M/MV5BMzIyNzQ0Nzg1NV5BMl5BanBnXkFtZTcwNTI4NTE5Ng@@._V1_UY209_CR8,0,140,209_AL_.jpg","
Lisa Bonet was born in San Francisco, California, to Arlene Joyce (Litman), a teacher, and Allen Bonet, an opera singer. She has lived most of her life in New York and Los Angeles; in L.A., she attended Reseda High School and Celluloid Actor's Studio. Her father was African-American and her mother ...                "
51," Halle Berry
",https://www.imdb.com/name/nm0000932/,Actress|Angel Heart,"https://m.media-amazon.com/images/M/MV5BMjIxNzc5MDAzOV5BMl5BanBnXkFtZTcwMDUxMjMxMw@@._V1_UY209_CR7,0,140,209_AL_.jpg","
Halle Maria Berry was born Maria Halle Berry on August 14, 1966 in Cleveland, Ohio and raised in Bedford, Ohio to Judith Ann (Hawkins), a psychiatric nurse, and Jerome Jesse Berry, a hospital attendant. Her father was African-American and her mother is of mostly English and German descent. Halle ...                "
52," Oprah Winfrey
",https://www.imdb.com/name/nm0001856/,Actress|Catwoman,"https://m.media-amazon.com/images/M/MV5BMTgzODE3MzYxNF5BMl5BanBnXkFtZTYwMzEyNjc4._V1_UY209_CR1,0,140,209_AL_.jpg","
Oprah Gail Winfrey , often known simply as Oprah, is an American talk show host, television producer, actress, author, and philanthropist. She is best known for her talk show, The Oprah Winfrey Show, broadcast from Chicago, which was the highest-rated television program of its kind in history and ...                "
53," Queen Latifah
",https://www.imdb.com/name/nm0001451/,Producer|The Oprah Winfrey Show,"https://m.media-amazon.com/images/M/MV5BMjAwNjkxNzkyMF5BMl5BanBnXkFtZTcwNTQ1MTMyMw@@._V1_UY209_CR5,0,140,209_AL_.jpg","
Often considered hip-hop's first lady, the woman behind the moniker Queen Latifah was born Dana Elaine Owens on March 18, 1970, in East Orange, New Jersey. She is the daughter of Rita (Bray), a teacher, and Lancelot Owens Sr. She came from a police family-both her father and her older brother were ...                "
54," Eve
",https://www.imdb.com/name/nm1073992/,Actress|Chicago,"https://m.media-amazon.com/images/M/MV5BMTc4NDg1OTgyM15BMl5BanBnXkFtZTcwODM5ODEwMw@@._V1_UX140_CR0,0,140,209_AL_.jpg","
Eve was born on November 10, 1978 in Philadelphia, Pennsylvania, USA. She is an actress and producer, known for Barbershop (2002), xXx (2002) and Whip It (2009). She has been married to Maximillion Cooper since June 14, 2014. They have one child.                "
