,Title,Year,Certification,Time,Genre,Star,Meta,Resume,Director,Actors,Vote,Gross
85,Skin,(I) (2008),PG-13,107 min,"Biography, Drama",6.9,62,Based on the true story of a black girl who was born to two white Afrikaner parents in South Africa during the apartheid era.,Anthony Fabian,"['Anthony Fabian', 'Sophie Okonedo', 'Sam Neill', 'Alice Krige', 'Tony Kgoroge']","3,555",None
86,Shake Hands with the Devil,(2007),R,112 min,"Drama, History, War",7.6,57,"The story of General Romeo Dallaire's frustrated efforts to stop the madness of the Rwandan Genocide, despite the complete indifference of his superiors.",Jennifer Capraru,"['Jennifer Capraru', 'Roger Spottiswoode', 'Roy Dupuis', 'Owen Sejake', 'James Gallanders', 'Michel Ange Nzojibwami']","3,497",None
87,The Wooden Camera,(2003),None,92 min,Family,7,None,"A township near Cape Town. Two young teens, Madiba and Sipho, find a gun and a camera. Sipho takes the gun, and Madiba the camera, sealing their fate.",Ntshaveni Wa Luruli,"['Ntshaveni Wa Luruli', 'Junior Singo', 'Dana de Agrella', 'Innocent Msimango', 'Lisa Petersen']",528,None
88,Goodbye Bafana,(2007),R,118 min,"Biography, Drama, History",7.1,None,Goodbye Bafana is the true story of a white South African racist whose life was profoundly altered by the black prisoner he guarded for twenty years. The prisoner's name was Nelson Mandela.,Bille August,"['Bille August', 'Joseph Fiennes', 'Dennis Haysbert', 'Diane Kruger', 'Patrick Lyster']","12,028",None
89,Black Hawk Down,(2001),R,144 min,"Action, Drama, History",7.7,74,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily-armed Somalis.",Ridley Scott,"['Ridley Scott', 'Josh Hartnett', 'Ewan McGregor', 'Tom Sizemore', 'Eric Bana']","399,215",$108.64M
90,Le secret de Chanda,(2010),PG-13,100 min,Drama,7.1,65,A touching mother-daughter relationship that reflects the modern South Africa.,Oliver Schmitz,"['Oliver Schmitz', 'Khomotso Manyaka', 'Keaobaka Makanyane', 'Harriet Lenabe', 'Lerato Mvelase']","1,393",$0.13M
91,Daratt,(2006),None,96 min,Drama,6.9,78,"Chad, 2006. After a forty-year civil war, the radio announces the government has just amnestied the war criminals. Outraged by the news, Gumar Abatcha orders his grandson Atim, a ...See full summary»",Mahamat-Saleh Haroun,"['Mahamat-Saleh Haroun', 'Ali Barkai', 'Youssouf Djaoro', 'Aziza Hisseine', 'Khayar Oumar Defallah']",918,None
92,Things of the Aimless Wanderer,(2015),None,78 min,Drama,6.7,None,"Late nineteenth century, a white explorer is lost in the jungle. He sets off, trying to locate himself. In the thick rain forest, he encounters a young woman... Early twenty-first century, ...See full summary»",Kivu Ruhorahoza,"['Kivu Ruhorahoza', 'Ramadhan Bizimana', 'Justin Mullikin', 'Grace Nikuze', 'Matt Ray Brown']",33,None
93,Guelwaar,(1992),None,115 min,Drama,7.4,None,"Burial of a Christian political activist in a Muslim cemetary forces a conflict imbued with religious fervor. A satiric portrayal of religion and politics, sometimes humorous, sometimes deadly serious.",Ousmane Sembene,"['Ousmane Sembene', 'Abou Camara', 'Marie Augustine Diatta', 'Mame Ndoumbé Diop', 'Moustapha Diop']",362,$0.06M
94,Amistad,(1997),R,155 min,"Biography, Drama, History",7.3,63,"In 1839, the revolt of Mende captives aboard a Spanish owned ship causes a major controversy in the United States when the ship is captured off the coast of Long Island. The courts must decide whether the Mende are slaves or legally free.",Steven Spielberg,"['Steven Spielberg', 'Djimon Hounsou', 'Matthew McConaughey', 'Anthony Hopkins', 'Morgan Freeman']","78,313",$44.18M
95,Amandla! A Revolution in Four Part Harmony,(2002),PG-13,108 min,"Documentary, History, Music",7.4,78,"Interviews, archival footage, and filmed performances highlight the role of music in the South African struggle against apartheid.",Lee Hirsch,"['Lee Hirsch', 'Abdullah Ibrahim', 'Duma Ka Ndlovu', 'Vusi Mahlasela', 'Walter Cronkite']",610,$0.40M
96,Badou Boy,(1970),None,56 min,Comedy,6.7,None,Sarcastic look at Senegal's capital following the adventures of a somewhat immoral street urchin.,Djibril Diop Mambéty,"['Djibril Diop Mambéty', 'Laminé Ba', 'Al Demba Ciss', 'Christoph Colomb', 'Aziz Diop Mambéty']",180,None
97,Nirgendwo in Afrika,(2001),R,141 min,"Biography, Drama, History",7.5,72,A German Jewish refugee family moves to and adjusts to a farm life in 1930s Kenya.,Caroline Link,"['Caroline Link', 'Juliane Köhler', 'Merab Ninidze', 'Matthias Habich', 'Sidede Onyulo']","13,454",$6.17M
98,Heremakono,(2002),None,90 min,"Drama, Music",6.7,None,The story of two people who cross paths in Nouhadhibou.,Abderrahmane Sissako,"['Abderrahmane Sissako', 'Khatra Ould Abder Kader', 'Maata Ould Mohamed Abeid', 'Mohamed Mahmoud Ould Mohamed', 'Fatimetou Mint Ahmeda']","1,040",$0.00M
99,Keita! L'héritage du griot,(1995),None,94 min,"Drama, Fantasy",6.4,None,A storyteller named Djeliba comes to the town of a young boy named Mabo with promises that he will reveal the origin of the boy's ancestry.,Dani Kouyaté,"['Dani Kouyaté', 'Seydou Boro', 'Hamed Dicko', 'Abdoulaye Komboudri', 'Sotigui Kouyaté']",167,None
100,Mandela and de Klerk,(1997 TV Movie),PG-13,114 min,Drama,7,None,"On June 12, 1964, Nelson Mandela, along with numerous political detainees, was sentenced to life imprisonment in what remains the most sensational treason trial in the history of South ...See full summary»",Joseph Sargent,"['Joseph Sargent', 'Sidney Poitier', 'Michael Caine', 'Tina Lifford', 'Gerry Maritz']",636,None
101,Sambizanga,(1972),None,97 min,Drama,7.1,None,A man is wrongfully arrested and tortured to death after he is suspected of being part of a revolutionary group.,Sarah Maldoror,"['Sarah Maldoror', 'Domingos de Oliveira', 'Elisa Andrade', ""Jean M'Vondo"", 'Dino Abelino']",341,None
102, A Country Practice,(1981–1993),None,None,"Drama, Romance",0,None,Rosemary wins over the staff when she takes over for Terence when he passes out during Frank's appendectomy. Luke is bitten by a snake.,Shane Porteous,"['Shane Porteous', 'Lorrae Desmond', 'Brian Wenzel', 'John Tarrant']",None,None
103,Out of Africa,(2000 TV Movie),None,90 min,Documentary,7,None,Add a Plot,David Barrie,['David Barrie'],23,None
104,Bopha!,(1993),PG-13,120 min,Drama,6.5,68,"In this story of a black policeman during South African apartheid, Danny Glover plays the cop, who believes he's trying to help his people, even while serving as a pawn of the racist ...See full summary»",Morgan Freeman,"['Morgan Freeman', 'Danny Glover', 'Malcolm McDowell', 'Alfre Woodard', 'Marius Weyers']",974,$0.21M
105,Appunti per un'Orestiade africana,(1970),None,65 min,Documentary,6.7,None,"The director presents takes and scenes filmed on location in Africa for a film-that-never-was, a black Oresteia.",Pier Paolo Pasolini,"['Pier Paolo Pasolini', 'Gato Barbieri', 'Donald F. Moye', 'Marcello Melis', 'Yvonne Murray']",501,None
106,O Jardim do Outro Homem,(2007),None,80 min,Drama,5.9,None,"Sofia, a young girl in Mozambique who is studying to be a doctor, finds that her professor wants more from her than hard work. An unwillingness to compromise her values and potentially her health, may cost her a place there.",Sol de Carvalho,"['Sol de Carvalho', 'Evaristo Abreu', 'Timóteo Maposse', 'Maria Amélia Pangane', 'Filomena Remigio']",59,None
107,Half of a Yellow Sun,(2013),R,111 min,"Drama, Romance",6.1,51,"Sisters Olanna and Kainene return home to 1960s Nigeria, where they soon diverge on different paths. As civil war breaks out, political events loom larger than their differences as they join the fight to establish an independent republic.",Biyi Bandele,"['Biyi Bandele', 'Chiwetel Ejiofor', 'Thandiwe Newton', 'Anika Noni Rose', 'Joseph Mawle']","2,037",$0.05M
108,Hijack Stories,(2000),None,90 min,"Crime, Drama",6.4,None,A young Soweto actor joins a gang to study up and be more convincing in a gangster role he wants.,Oliver Schmitz,"['Oliver Schmitz', 'Tony Kgoroge', 'Rapulana Seiphemo', 'Percy Matsemela', 'Makhaola Ndebele']",224,None
109,Mighty Joe Young,(1998),PG,114 min,"Action, Adventure, Family",5.7,51,"A legendary fifteen-foot tall mountain gorilla named Joe is taken to an animal sanctuary in California by zoologist Gregg O'Hara (Bill Paxton) and Jill Young (Charlize Theron), with whom he grew up. Poacher Strasser (Rade Serbedzija) returns from the past to seek vengeance on Joe.",Ron Underwood,"['Ron Underwood', 'Bill Paxton', 'Charlize Theron', 'Rade Serbedzija', 'Peter Firth']","29,572",$50.63M
110,Mandabi,(1968),None,92 min,Drama,7.3,None,"A money order from a relative in Paris throws the life of a Senegalese family man out of order. He deals with corruption, greed, problematic family members, the locals and the changing from...See full summary»",Ousmane Sembene,"['Ousmane Sembene', 'Makhouredia Gueye', ""Ynousse N'Diaye"", 'Isseu Niang', 'Mustapha Ture']","1,187",None
111,Born Free,(1966),PG,95 min,"Adventure, Biography, Drama",7.2,None,"The story of George and Joy Adamson and the orphaned lion cub, Elsa, they adopt.",James Hill,"['James Hill', 'Tom McGowan', 'Virginia McKenna', 'Bill Travers', 'Geoffrey Keen', 'Peter Lukoye']","6,557",None
112,Roots,(1977),None,588 min,"Biography, Drama, History",8.4,None,A dramatization of authorAlex Haley's family line from ancestor Kunta Kinte's enslavement to his descendants' liberation.,LeVar Burton,"['LeVar Burton', 'Robert Reed', 'John Amos', 'Louis Gossett Jr.']","17,782",None
113,Madagascar: Escape 2 Africa,(2008),PG,89 min,"Animation, Adventure, Comedy",6.6,61,"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",Eric Darnell,"['Eric Darnell', 'Tom McGrath', 'Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith']","230,196",$180.01M
114,Winnie,(2011),R,104 min,"Biography, Drama, History",6.1,37,A drama that chronicles the life of Winnie Mandela from her childhood through her marriage and her husband's incarceration.,Darrell Roodt,"['Darrell Roodt', 'Jennifer Hudson', 'Terrence Howard', 'Elias Koteas', 'Wendy Crewson']",849,None
115,Somewhere in Africa,(2013),None,129 min,Drama,0,None,An American art dealer gets more than what he bargains for in search of Africa's finest art work.,Chia Stanley Kisuh,"['Chia Stanley Kisuh', 'Billings Siwila', 'Greg Kriek', 'Bingo Bemingham', 'Olga Chunga']",None,None
116, Screen Two,(1985–1998),R,90 min,Drama,6.6,None,"When stowaways are found on board a Russian cargo ship, some of the officers and crew decide to dispose of them at sea. The last time they had a stowaway on board, the ship was fined ...See full summary»",John Mackenzie,"['John Mackenzie', 'Omar Epps', 'Joss Ackland', 'Sean Pertwee', 'David Suchet']",659,None
117,The Lion King,(1994),G,88 min,"Animation, Adventure, Drama",8.5,88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,"['Roger Allers', 'Rob Minkoff', 'Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']","1,058,838",$422.78M
118,Children of South Africa,(2008),None,22 min,"Short, Adventure, Drama",0,None,"'Children of South Africa' is a story about the effects of colonialism and industrialism on modern South Africa. Specifically, it focuses on the thousands of townships that sprang up as a ...See full summary»",Rebecca L. Abbott,"['Rebecca L. Abbott', ""Liam O'Brien"", 'Rebecka Jones', 'David Rosettenstein']",None,None
119,Indigènes,(2006),R,123 min,"Action, Drama, War",7,82,"During WWII, four North African men enlist in the French army to liberate that country from Nazi oppression, and to fight French discrimination.",Rachid Bouchareb,"['Rachid Bouchareb', 'Samy Naceri', 'Roschdy Zem', 'Sami Bouajila', 'Jamel Debbouze']","14,736",$0.32M
120,A Dry White Season,(1989),None,106 min,"Drama, Thriller",7,68,A white middle class South African suburbanite with no interest in politics agrees to help his black gardener find his jailed son. His investigation opens his eyes to the horrors committed by the secret police and turns him into a target.,Euzhan Palcy,"['Euzhan Palcy', 'Donald Sutherland', 'Janet Suzman', 'Zakes Mokae', 'Jürgen Prochnow']","5,775",$3.77M
121,Hearts & Minds,(1995),R,100 min,"Drama, History, Thriller",6.2,None,"Set when the apartheid government was still in control, this powerful South African thriller is based on the true story of a policeman belonging to an elite government squad who was ...See full summary»",Ralph Ziman,"['Ralph Ziman', 'Danny Keogh', 'Patrick Shai', 'Seputla Sebogodi', ""Brian O'Shaughnessy""]","3,325",None
122,The Road to Mecca,(1991),None,105 min,Drama,7.7,None,"An elderly lady, living in (literally) the middle of nowhere, and fed up with small minded apartheid ideology, starts escaping into her own world of sculpting in her back yard and along ...See full summary»",Athol Fugard,"['Athol Fugard', 'Peter Goldsmid', 'Yvonne Bryceland', 'Kathy Bates', 'Athol Fugard', 'Louis van Niekerk']",113,None
123,Tarzan,(1999),G,88 min,"Animation, Adventure, Comedy",7.3,79,A man raised by gorillas must decide where he really belongs when he discovers he is a human.,Chris Buck,"['Chris Buck', 'Kevin Lima', 'Tony Goldwyn', 'Minnie Driver', 'Brian Blessed', 'Glenn Close']","228,926",$171.09M
124,Emitaï,(1971),None,103 min,Drama,7.2,None,"As World War II is going on in Europe, a conflict arises between the French and the Diola-speaking tribe of Africa, prompting the village women to organize their men to sit beneath a tree to pray.",Ousmane Sembene,"['Ousmane Sembene', 'Andongo Diabon', 'Robert Fontaine', 'Michel Renaudeau', 'Ousmane Camara']",393,None
125,Touki bouki,(1973),None,85 min,Drama,7,None,"Mory, a cowherd, and Anta, a university student, try to make money in order to go to Paris and leave their boring past behind.",Djibril Diop Mambéty,"['Djibril Diop Mambéty', 'Magaye Niang', 'Myriam Niang', 'Christoph Colomb', 'Mustapha Ture']","3,461",None
126,Xala,(1975),None,123 min,"Comedy, Drama",6.7,None,A corrupt politician is cursed with impotence on the night of his third wedding after embezzling 100 tons of rice.,Ousmane Sembene,"['Ousmane Sembene', 'Thierno Leye', 'Myriam Niang', 'Seune Samb', 'Fatim Diagne']","1,801",None
127,"Greystoke: The Legend of Tarzan, Lord of the Apes",(1984),None,143 min,"Adventure, Drama",6.4,62,"A missing heir of respected Scottish family, raised in African jungles by animals, finally returns to his estate only to realize that difference between the two worlds is really significant.",Hugh Hudson,"['Hugh Hudson', 'Christopher Lambert', 'Andie MacDowell', 'Ralph Richardson', 'Ian Holm']","20,324",$45.90M
128,La pirogue,(2012),None,87 min,Drama,6.7,74,A group of African men leave Senegal in a pirogue captained by a local fisherman to undertake the treacherous crossing of the Atlantic to Spain where they believe better lives and prospects are waiting for them.,Moussa Touré,"['Moussa Touré', 'Souleymane Seye Ndiaye', 'Laïty Fall', ""Malaminé 'Yalenguen' Dramé"", 'Balla Diarra']",427,None
129,Casablanca,(1942),PG,102 min,"Drama, Romance, War",8.5,100,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,"['Michael Curtiz', 'Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']","573,250",$1.02M
130,Finye,(1982),None,100 min,Drama,6.6,None,"Finye tackles the generation gap in post-colonial West Africa. Its heroine is the pot smoking daughter of a provincial military governor who falls in love with a fellow university student, the descendent of one of Mali's chiefs.",Souleymane Cissé,"['Souleymane Cissé', 'Fousseyni Sissoko', 'Goundo Guissé', 'Balla Moussa Keita', 'Ismaila Sarr']",277,None
131,Yaaba,(1989),None,90 min,"Drama, Romance",7.1,None,"A small village in Burkina Faso. The story focuses on Bila, a ten year old boy who befriends an old woman, Sana. Everybody calls her 'Witch' but Bila himself calls her 'Yaaba' (grandmother)...See full summary»",Idrissa Ouedraogo,"['Idrissa Ouedraogo', 'Fatimata Sanga', 'Noufou Ouédraogo', 'Roukietou Barry', 'Adama Ouédraogo']",700,None
132,Paradies: Liebe,(2012),None,120 min,Drama,7,65,"Teresa, a fifty-year-old Austrian mother, travels to the paradise of the beaches of Kenya, seeking out love from African boys. But she must confront the hard truth that on the beaches of Kenya, love is a business.",Ulrich Seidl,"['Ulrich Seidl', 'Margarete Tiesel', 'Peter Kazungu', 'Inge Maux', 'Dunja Sowinetz']","9,290",$0.02M
133,Tilaï,(1990),None,81 min,"Drama, Romance",6.9,None,"Set in a pre-colonial African past, Tilai is about an illicit love affair and its consequences. Saga returns to his village after an extended absence to discover that his father has taken ...See full summary»",Idrissa Ouedraogo,"['Idrissa Ouedraogo', 'Rasmané Ouédraogo', 'Ina Cissé', 'Roukietou Barry', 'Assane Ouédraogo']",622,None
134,Mama Jack,(2005),None,100 min,Comedy,4.4,None,Complications arise when a fugitive (Leon Schuster) masquerading as a woman falls in love with his pretty boss (Mary-Anne Barlow).,Gray Hofmeyr,"['Gray Hofmeyr', 'Leon Schuster', 'Lionel Newton', 'Mary-Anne Barlow', 'Jerry Mofokeng']",415,None
135,Mr. Bones,(I) (2001),PG,110 min,"Comedy, Family",4.7,None,"A medicine man is sent looking for the son of his tribal king, and brings back an American golfer and a host of goons intent on keeping him in the golf tournament.",Gray Hofmeyr,"['Gray Hofmeyr', 'Leon Schuster', 'David Ramsey', 'Faizon Love', 'Robert Whitehead']","2,732",None
136,The African Queen,(1951),PG,105 min,"Adventure, Drama, Romance",7.7,91,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship.",John Huston,"['John Huston', 'Humphrey Bogart', 'Katharine Hepburn', 'Robert Morley', 'Peter Bull']","79,772",$0.54M
137,Mogambo,(1953),None,116 min,"Adventure, Drama, Romance",6.6,None,"On a Kenyan safari, white hunter Victor Marswell has a love triangle with seductive American socialite Eloise Kelly and anthropologist Donald Nordley's cheating wife Linda.",John Ford,"['John Ford', 'Clark Gable', 'Grace Kelly', 'Ava Gardner', 'Donald Sinden']","8,446",None
138,Samba Traoré,(1992),None,85 min,Drama,6.9,None,"Samba Traore returns to his village flush with funds. Soon enough he manages to charm the beautiful Saratou into marrying him and, along with another friend, builds the first bar their ...See full summary»",Idrissa Ouedraogo,"['Idrissa Ouedraogo', 'Bakary Sangaré', 'Mariam Kaba', 'Abdoulaye Komboudri', 'Irène Tassembedo']",219,None
139,A Place Without People,(2010),None,55 min,Documentary,7.1,None,Add a Plot,Andreas Apostolidis,"['Andreas Apostolidis', 'Dana Abed']",15,None
140,Soleil Ô,(1967),None,98 min,Drama,7.4,None,"A native of Mauritania is delighted when he is chosen to work in Paris. However, he is disappointed when he sees racial inequity as blacks are relegated to manual labor while less skilled whites are given preferential treatment.",Med Hondo,"['Med Hondo', 'Robert Liensol', 'Théo Légitimus', ""Ambroise M'Bia"", 'Gabriel Glissant']",545,None
141,Niaye,(1964),None,35 min,"Drama, Short",7.2,None,The pregnancy of a young girl scandalizes her community.,Ousmane Sembene,"['Ousmane Sembene', 'Serigne Sow', ""Astou N'Diaye"", 'Mame Dia', 'Modou Sène']",72,None
142,Den muso,(1975),None,88 min,Drama,6.9,None,"A young mute woman is raped and becomes pregnant, with disastrous consequences within her family. The film also sketches the social/economic situation in urban Mali in the 1970s, particularly in relation to the treatment of women.",Souleymane Cissé,"['Souleymane Cissé', 'Dounamba Dany Coulibaly', 'Gogo Danba', 'Fanta Diabate', 'Omou Diarra']",105,None
143,Contras' City,(1969),None,22 min,Short,6.8,None,"A somewhat-humorous look at the city of Dakar, its people, architecture, politics, social behavior, and even the white French tourists, and especially the influence of France's culture and ...See full summary»",Djibril Diop Mambéty,['Djibril Diop Mambéty'],132,None
144,Wend Kuuni,(1982),None,75 min,Drama,6.7,None,"In pre-colonial times a peddler crossing the savanna discovers a child lying unconscious in the bush. When the boy comes to, he is mute and cannot explain who he is. The peddler leaves him ...See full summary»",Gaston Kaboré,"['Gaston Kaboré', 'Serge Yanogo', 'Rosine Yanogo', 'Joseph Nikiema', 'Colette Kaboré']",252,None
145,Baara,(1978),None,90 min,Drama,6.6,None,"A young manager of a factory encounters a man walking along a road who says his family traditionally are servants to the manager's family. The manager offers him a job, and as he watches ...See full summary»",Souleymane Cissé,"['Souleymane Cissé', 'Balla Moussa Keita', 'Baba Niare', 'Bubukar Keita', 'Omou Diarra']",221,None
146,Saaraba,(1988),None,90 min,None,6.6,None,"Tamsir returns to Senegal after 17 years in Europe. His uncle gives him a patronage job in Dakar, virtually without duties. He visits his family's village to see his parents, and there he ...See full summary»",Amadou Saalum Seck,['Amadou Saalum Seck'],43,None
147,Mirt Sost Shi Amit,(1975),None,150 min,Drama,7.7,None,"In Ethiopia; there is a slow boiling of a feud between a wealthy Lord and a protester who feels he is mistreating his laborers. While the viewer gets to closely examine the culture, conversations, and lives of the locals who surround them.",Haile Gerima,"['Haile Gerima', 'Kasu Asfaw', 'Gebru Kasa', 'Worke Kasa', 'Melaku Makonen']",203,None
148,Sarraounia,(1986),None,120 min,"Drama, History, War",7.1,None,"On January 2 1899, starting from the French Soudan, a french column under the commandment of the captains Voulet and Chanoine is send against the black Sultan Rabah in what is now the ...See full summary»",Med Hondo,"['Med Hondo', 'Aï Keïta', 'Jean-Roger Milo', 'Féodor Atkine', 'Didier Sauvegrain']",172,None
149,Le wazzou polygame,(1971),None,50 min,Drama,6.2,None,"An Islamic faithful returns from his holy pilgrimage to Mecca with the venerated title ""el hajji"". On his return he falls in love with his daughter's friend Santou, who is already engaged ...See full summary»",Oumarou Ganda,"['Oumarou Ganda', 'Oumarou Ganda', 'Joseph Salamatou', 'Zalika Souley']",68,None
150,Bouka,(1988),None,90 min,Drama,7.1,None,Bouka is a gifted young teenager. He lives with his parents in a village and forms with them a solid family. His father gives him a traditional education close to nature. Unfortunately this...See full synopsis»,Roger Gnoan M'Bala,"[""Roger Gnoan M'Bala"", 'Akissi Delta', 'Félix Gazekagnon', 'Drissa Kone']",21,None
151,Zan Boko,(1988),None,95 min,Drama,7,None,"In the Mossi culture, one of the rites attending the birth of a child and its induction as a new member of the community involves the burial of the placenta. The space in which the placenta...See full summary»",Gaston Kaboré,"['Gaston Kaboré', 'Mathias Bayili', 'Colette Kaboré', 'Joseph Nikiema', 'Gady Pafadnam']",83,None
152,Mortu Nega,(1988),None,85 min,"Drama, War",7,None,"The story of a woman who searches through the country for her husband, a resistant, while the war for independence is raging. She finds him at last and saves his life. When peace finally ...See full summary»",Flora Gomes,"['Flora Gomes', 'Bia Gomes', 'Tunu Eugenio Almada', 'Mamadu Uri Balde', 'Pedro da Silva']",81,None
153,Ta Dona,(1991),None,100 min,Drama,6.3,None,"A young forest ranger who sees that his work holds the key to the future of his country is disgusted at the short-sighted, money-grubbing ways of his superiors.",Adama Drabo,"['Adama Drabo', 'Djeneba Diawara', 'Mamadou Fomba', 'Balla Moussa Keita', 'Diarrah Sanogo']",33,None
154,Finzan,(1989),None,107 min,Drama,6.9,None,Two women rebel against the traditions of a village society.,Cheick Oumar Sissoko,"['Cheick Oumar Sissoko', 'Diarrah Sanogo', 'Oumar Namory Keita', 'Koti', 'Sadou Touré']",58,None
155,Rabi,(1992),None,62 min,"Drama, Family",6.5,None,"A blacksmith falls off his bicycle when he tries to avoid a tortoise which crosses his path. He brings the animal home to his twelve year old son, Rabi, who becomes so fascinated that he ...See full summary»",Gaston Kaboré,"['Gaston Kaboré', 'Tinfusi Yerbanga', 'Colette Kaboré', 'Joseph Nikiema', 'Joséphine Kaboré']",49,None
156,Quartier Mozart,(1992),None,80 min,Comedy,6.3,None,A young girl crosses paths with a witch who has the power to satisfy her curiosity about men by changing her into one.,Jean-Pierre Bekolo,"['Jean-Pierre Bekolo', 'Serge Amougou', 'Saïdou Abatcha', 'Timoléon Luc Boyogueno', 'Atebass']",93,None
157,"Afrique, je te plumerai",(1992),None,88 min,"Documentary, History",6.7,None,"A documentary examining political repression in Cameroon, Central Africa.",Jean-Marie Téno,"['Jean-Marie Téno', 'Jean-Marie Téno', 'Narcisse Kouokam', 'Marie Claire Dati', 'Essindi Mindja']",105,None
158,Sankofa,(1993),None,125 min,Drama,7,93,A self-absorbed Black American fashion model on a photo shoot in Africa is spiritually transported back to a plantation in the West Indies where she experiences first-hand the physical and ...See full summary»,Haile Gerima,"['Haile Gerima', 'Kofi Ghanaba', 'Oyafunmike Ogunlano', 'Alexandra Duah', 'Nick Medley']",732,$2.69M
159,Au nom du Christ,(1993),None,90 min,Comedy,6,None,"A West African pig farmer has a religious vision, wherein he is told that he'll be Magloire the First, a prophet of Christ. He then sets out to rid his local villagers of superstition and instead save them for Jesus.",Roger Gnoan M'Bala,"[""Roger Gnoan M'Bala"", 'Albert Ayatollah', 'Akissi Delta', 'Pierre Gondo', 'Martin Guedeba']",152,None
160,Sembène: The Making of African Cinema,(1994),None,60 min,Documentary,7.4,None,Senegalese filmmaker Ousmane Sembène reminisces about his career and discusses the craft of his films and novels. Topics of discussion are also the role of the artist in society and the politics of decolonisation.,Manthia Diawara,"['Manthia Diawara', ""Ngugi Wa Thiong'o"", 'Manthia Diawara', 'Ousmane Sembene']",43,None
161,Le cri du coeur,(1994),None,86 min,Drama,6.2,None,"Moctar lives in Mali with his mother Saffi and his ailing grandfather. One day, Saffi receives a letter from France which overwhelms her with happiness. Ibrahim Sow, her husband and ...See full summary»",Idrissa Ouedraogo,"['Idrissa Ouedraogo', 'Richard Bohringer', 'Saïd Diarra', 'Félicité Wouassi', 'Alex Descas']",68,None
162,Le franc,(I) (1994),None,46 min,Comedy,6.7,None,"A penniless, fast-thinking musician buys a lottery ticket which he glues to his back door, in hopes of eventually retrieving his instrument from his exasperating landlady. The ticket wins, ...See full summary»",Djibril Diop Mambéty,"['Djibril Diop Mambéty', 'Dieye Ma', 'Aminata Fall', 'Demba Bâ']",289,None
